date;exits;year;month;day;weekday;in_sample;exits_yesterday;exits_last_week;daily_roll;daily_ewma_fast;daily_ewma_slow;weekday_roll;weekday_ewma_fast;weekday_ewma_slow
2013-08-29;31626.0;2013;8;29;3;False;35273.0;44363.0;35851.6;35260.65158403544;33544.89589809141;40947.25;43776.14362683202;40722.90262331968
2013-08-30;32278.0;2013;8;30;4;False;31626.0;42231.0;34790.0;31799.078646858834;32585.447949045705;39131.0;41664.77117437682;38813.478782571714
2013-08-31;15284.0;2013;8;31;5;False;32278.0;20081.0;33517.3;32255.19422127899;32431.72397452285;19238.875;20195.971659153067;19974.283513856884
2013-09-01;12194.0;2013;9;1;6;False;15284.0;14729.0;30496.5;16092.15210577519;23857.861987261425;14091.75;14777.87530135535;14507.72313265995
2013-09-02;11552.0;2013;9;2;0;False;12194.0;33990.0;27279.6;12379.6262907512;18025.93099363071;36629.0;34356.36476422955;36524.12363759615
2013-09-03;35850.0;2013;9;3;1;False;11552.0;35110.0;24211.7;11591.410775750057;14788.965496815355;38104.5;35548.97170952381;38026.15585351737
2013-09-04;37423.0;2013;9;4;2;False;35850.0;35273.0;25788.6;34694.82908455952;25319.482748407678;38679.5;35730.68211189844;38509.5379320661
2013-09-05;35796.0;2013;9;5;3;False;37423.0;31626.0;28058.0;37293.08709926474;31371.24137420384;37301.75;32204.578267944384;36174.45131165984
2013-09-06;35851.0;2013;9;6;4;False;35796.0;32278.0;28238.6;35867.28986186975;33583.620687101924;35774.5;32724.989103541753;35545.73939128585
2013-09-07;22461.5;2013;9;7;5;False;35851.0;15284.0;28312.7;35851.77570770808;34717.31034355096;18618.875;15517.903412340622;17629.141756928442
2013-09-08;16249.0;2013;9;8;6;False;22461.5;12194.0;27031.55;23099.132176557527;28589.40517177548;13731.75;12317.04168101692;13350.861566329975
2013-09-09;48960.0;2013;9;9;0;False;16249.0;11552.0;25493.85;16575.196770312265;22419.20258588774;29450.0;12637.922131629979;24038.061818798076
